,movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,gradeNm
0,20175221,킬링 디어,120,2017,20180712,개봉,장편,"[{'nationNm': '미국'}, {'nationNm': '영국'}]",청소년관람불가
0,20182564,"오늘 밤, 로맨스 극장에서",108,2018,20180711,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20183361,인크레더블 2,125,2018,20180718,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20188042,독전: 익스텐디드 컷,131,2017,20180718,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20185621,호텔 아르테미스,93,2018,20180718,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20186001,신은 죽지 않았다 3: 어둠 속의 빛,104,2018,20180719,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20186282,이별의 아침에 약속의 꽃을 장식하자,114,2018,20180719,개봉,장편,[{'nationNm': '일본'}],12세이상관람가
0,20181181,미션 임파서블: 폴아웃,147,2018,20180725,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20170942,인랑,138,2018,20180725,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,67,2018,20180725,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20186121,어느 가족,120,2018,20180726,개봉,장편,[{'nationNm': '일본'}],15세이상관람가
0,20110027,아이 엠 러브,120,2009,20110120,개봉,장편,[{'nationNm': '이탈리아'}],청소년관람불가
0,20186202,신과함께-인과 연,141,2017,20180801,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20186501,극장판 헬로카봇 : 백악기 시대,84,2018,20180801,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20181942,맘마미아!2,113,2018,20180808,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20179044,더 스퀘어,151,2017,20180802,개봉,장편,"[{'nationNm': '스웨덴'}, {'nationNm': '독일'}, {'nationNm': '프랑스'}, {'nationNm': '덴마크'}]",15세이상관람가
0,20179101,공작,137,2017,20180808,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20184802,몬스터 호텔 3,97,2018,20180808,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20187427,명탐정 코난 : 제로의 집행인,110,2018,20180808,개봉,장편,[{'nationNm': '일본'}],12세이상관람가
0,20170670,목격자,111,2017,20180815,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20183584,메가로돈,113,2018,20180815,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20187641,극장판 도라에몽: 진구의 보물섬,107,2018,20180815,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20153446,너의 결혼식,110,2017,20180822,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20187647,나를 차버린 스파이,117,2018,20180822,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20187657,마일22,94,2018,20180823,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20185046,서치,102,2017,20180829,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
