,genreNm,movieCd
0,공포(호러),19978805
0,기타,20225994
0,기타,20225979
0,애니메이션,20225237
0,드라마,20225175
0,액션,20225186
0,공포(호러),20225180
1,드라마,20225180
2,스릴러,20225180
0,액션,20224791
1,스릴러,20224791
0,액션,20208446
1,판타지,20208446
2,SF,20208446
0,애니메이션,20205362
1,어드벤처,20205362
2,코미디,20205362
0,기타,20225293
0,액션,20209343
1,드라마,20209343
0,애니메이션,20225190
0,드라마,20196410
0,코미디,20226207
0,애니메이션,20226107
0,액션,20211792
1,드라마,20211792
0,애니메이션,20224965
1,액션,20224965
2,어드벤처,20224965
0,애니메이션,20226034
1,액션,20226034
2,어드벤처,20226034
0,미스터리,20219345
1,공포(호러),20219345
0,액션,20225448
0,코미디,20217826
0,애니메이션,20226200
0,멜로/로맨스,20225556
1,드라마,20225556
0,범죄,20208721
1,스릴러,20208721
0,멜로/로맨스,20225892
0,액션,20215601
1,코미디,20215601
0,애니메이션,20226444
0,공포(호러),20212709
0,애니메이션,20226125
1,판타지,20226125
2,어드벤처,20226125
0,애니메이션,20226679
0,애니메이션,20225057
1,액션,20225057
2,어드벤처,20225057
0,다큐멘터리,20226879
1,공연,20226879
0,액션,20211472
1,범죄,20211472
0,SF,20226957
1,어드벤처,20226957
2,액션,20226957
3,전쟁,20226957
0,코미디,20219628
0,애니메이션,20226751
1,드라마,20226751
0,뮤지컬,20198317
0,판타지,20196776
1,뮤지컬,20196776
0,애니메이션,20226777
0,애니메이션,20226670
0,다큐멘터리,20211244
0,미스터리,20225729
1,공포(호러),20225729
0,애니메이션,20226739
0,드라마,20217624
1,코미디,20217624
0,액션,20227308
1,어드벤처,20227308
2,SF,20227308
0,공포(호러),20227304
1,스릴러,20227304
0,액션,20226798
1,코미디,20226798
0,드라마,20208101
1,코미디,20208101
0,멜로/로맨스,20227338
1,코미디,20227338
0,액션,20226886
1,어드벤처,20226886
2,SF,20226886
0,공포(호러),20227225
0,범죄,20198429
1,스릴러,20198429
0,드라마,20198461
0,애니메이션,20226558
0,드라마,20211242
0,드라마,20227751
0,액션,20226254
1,어드벤처,20226254
2,드라마,20226254
0,애니메이션,20228357
1,액션,20228357
2,판타지,20228357
0,액션,20217905
0,멜로/로맨스,20224598
0,스릴러,20227514
1,액션,20227514
0,액션,20228532
1,드라마,20228532
0,멜로/로맨스,20212665
1,판타지,20212665
0,스릴러,20227762
0,애니메이션,20228190
0,범죄,20228297
1,드라마,20228297
2,스릴러,20228297
0,애니메이션,20227445
0,코미디,20205106
1,드라마,20205106
0,드라마,20210364
0,애니메이션,20228308
0,멜로/로맨스,20228313
0,다큐멘터리,20228602
0,애니메이션,20228640
0,미스터리,20227885
1,공포(호러),20227885
0,애니메이션,20228655
1,어드벤처,20228655
0,액션,20225061
1,어드벤처,20225061
2,SF,20225061
3,스릴러,20225061
0,스릴러,20228277
0,드라마,20196478
1,뮤지컬,20196478
0,애니메이션,20228829
0,애니메이션,20228309
0,범죄,20210140
0,기타,20215315
0,애니메이션,20227925
1,코미디,20227925
2,판타지,20227925
